run,topology,cost,time_sec
1,AIPSA-GM (ring),4.2333,4.6
1,AIPSA-GM (full),4.842,4.69
1,AIPSA-GM (random_k),5.9254,4.49
2,AIPSA-GM (ring),3.218,4.49
2,AIPSA-GM (full),4.7915,4.95
2,AIPSA-GM (random_k),8.8447,4.5
3,AIPSA-GM (ring),4.5292,4.47
3,AIPSA-GM (full),5.8896,4.65
3,AIPSA-GM (random_k),5.8721,4.6
4,AIPSA-GM (ring),3.425,4.66
4,AIPSA-GM (full),5.5922,5.0
4,AIPSA-GM (random_k),4.5139,4.69
5,AIPSA-GM (ring),2.5144,4.71
5,AIPSA-GM (full),3.9501,4.7
5,AIPSA-GM (random_k),4.3364,4.52
6,AIPSA-GM (ring),5.995,4.42
6,AIPSA-GM (full),4.7845,4.69
6,AIPSA-GM (random_k),5.9236,4.41
7,AIPSA-GM (ring),4.8639,4.42
7,AIPSA-GM (full),4.6129,4.71
7,AIPSA-GM (random_k),4.1274,4.39
8,AIPSA-GM (ring),4.039,4.45
8,AIPSA-GM (full),3.5447,4.69
8,AIPSA-GM (random_k),3.86,4.46
9,AIPSA-GM (ring),5.7533,4.46
9,AIPSA-GM (full),4.7685,4.84
9,AIPSA-GM (random_k),2.9526,4.7
10,AIPSA-GM (ring),7.4935,4.53
10,AIPSA-GM (full),4.8855,5.05
10,AIPSA-GM (random_k),5.6166,4.72
